"polygon_id","polygon_name","polygon_level","polygon_version","country","business_vertical","activity_quantile","latitude","longitude","ds"
"ESP.5.8_1","Valladolid","GADM2","3.6","ES","Restaurants","0.6922197413432087","41.6341387803508","-4.847079658553616","2024-10-30"
"ESP.5.8_1","Valladolid","GADM2","3.6","ES","Retail","0.6559185024876275","41.6341387803508","-4.847079658553616","2024-10-30"
"ESP.5.8_1","Valladolid","GADM2","3.6","ES","Travel","0.6331849952993039","41.6341387803508","-4.847079658553616","2024-10-30"
"ESP.5.8_1","Valladolid","GADM2","3.6","ES","Business & Utility Services","0.5666183323350241","41.6341387803508","-4.847079658553616","2024-10-30"
"ESP.5.8_1","Valladolid","GADM2","3.6","ES","Lifestyle Services","0.6646200588337765","41.6341387803508","-4.847079658553616","2024-10-30"
"ESP.5.8_1","Valladolid","GADM2","3.6","ES","Professional Services","0.6924679990961641","41.6341387803508","-4.847079658553616","2024-10-30"
"ESP.5.8_1","Valladolid","GADM2","3.6","ES","Grocery & Convenience Stores","0.6725431316714331","41.6341387803508","-4.847079658553616","2024-10-30"
"ESP.5.8_1","Valladolid","GADM2","3.6","ES","Home Services","0.6398398114006698","41.6341387803508","-4.847079658553616","2024-10-30"
"ESP.5.8_1","Valladolid","GADM2","3.6","ES","All","0.6844566473865521","41.6341387803508","-4.847079658553616","2024-10-30"
"ESP.1.6_1","Jaén","GADM2","3.6","ES","All","0.6767918209678774","38.01655157917753","-3.441539286139148","2024-10-30"
"ESP.1.6_1","Jaén","GADM2","3.6","ES","Local Events","0.6970053845019535","38.01655157917753","-3.441539286139148","2024-10-30"
"ESP.1.6_1","Jaén","GADM2","3.6","ES","Restaurants","0.7507703562690841","38.01655157917753","-3.441539286139148","2024-10-30"
"ESP.1.6_1","Jaén","GADM2","3.6","ES","Business & Utility Services","0.631137091745445","38.01655157917753","-3.441539286139148","2024-10-30"
"ESP.1.6_1","Jaén","GADM2","3.6","ES","","0.5327431791150705","38.01655157917753","-3.441539286139148","2024-10-30"
"ESP.1.6_1","Jaén","GADM2","3.6","ES","Manufacturing","0.46877455768053977","38.01655157917753","-3.441539286139148","2024-10-30"
"ESP.1.6_1","Jaén","GADM2","3.6","ES","Public Good","0.7274163170421108","38.01655157917753","-3.441539286139148","2024-10-30"
"ESP.1.6_1","Jaén","GADM2","3.6","ES","Lifestyle Services","0.6456445047431848","38.01655157917753","-3.441539286139148","2024-10-30"
"ESP.1.6_1","Jaén","GADM2","3.6","ES","Home Services","0.6294719094843461","38.01655157917753","-3.441539286139148","2024-10-30"
"ESP.1.6_1","Jaén","GADM2","3.6","ES","Grocery & Convenience Stores","0.718239788850873","38.01655157917753","-3.441539286139148","2024-10-30"
"ESP.1.6_1","Jaén","GADM2","3.6","ES","Travel","0.4781421168650675","38.01655157917753","-3.441539286139148","2024-10-30"
"ESP.1.6_1","Jaén","GADM2","3.6","ES","Retail","0.6471191971018181","38.01655157917753","-3.441539286139148","2024-10-30"
"ESP.1.6_1","Jaén","GADM2","3.6","ES","Professional Services","0.6965410682143452","38.01655157917753","-3.441539286139148","2024-10-30"
"ESP.1.8_1","Sevilla","GADM2","3.6","ES","Business & Utility Services","0.6066422650790949","37.43570737839507","-5.6826045124136195","2024-10-30"
"ESP.1.8_1","Sevilla","GADM2","3.6","ES","","0.6817220681495325","37.43570737839507","-5.6826045124136195","2024-10-30"
"ESP.1.8_1","Sevilla","GADM2","3.6","ES","Grocery & Convenience Stores","0.6902568267656928","37.43570737839507","-5.6826045124136195","2024-10-30"
"ESP.1.8_1","Sevilla","GADM2","3.6","ES","Public Good","0.7491374377920054","37.43570737839507","-5.6826045124136195","2024-10-30"
